Code	Title	Description
A52	Market Coupling Results Document	The document is used to provide the results of a market coupling auction.
A53	Outage publication Document	The document is used to provide the outage information for publication.
A54	Forced generation outage Document	A document providing information on forced generation outages.
A55	Summarised Market Schedule	A compilation of all external schedules concerning two Market Balance Areas of all balance responsible parties.
A56	Compensation Program Schedule	A schedule that provides the schedule information for the compensation of unintended deviation.
A57	Load Frequency Control Program Schedule	A schedule that provides the schedule information for the Load Frequency Control Program of a Control Area or a Control Block.
A58	Timeframe Independent Schedule	A compilation of all external Timeframe Independent Schedules concerning two System Operators.
A59	Information request	An information request being made concerning some specific information.
A60	status request for a position independently from a specific process	A status request concerning the position of an object independently of any ongoing processes.
A61	Estimated Net Transfer Capacity	The estimated net transfer capacity for a given border.
A62	Compensation rights	The capacity rights that have been allocated as compensation.
A63	Redispatch notice	A notice to confirm the actions agreed between System Operators to resolve a congestion situation through redispatch.
A64	Tender reduction response	A response to a tender reduction request that provides corrections to the initial document.
A65	System total load	Total load', including losses without power used for energy storage, is equal to generation deducted with exports, added with imports and deducted with power used for energy storage.
A66	Final MOL	A document providing the information concerning the situation of the MOL at the end of an activation period.
A67	Resource Provider Schedule for production/consumption	A document providing the schedules for production/consumption for resource objects submitted by a resource provider.
A68	Installed generation per type	A document providing the installed generation per generation type.
A69	Wind and solar forecast	A  document providing the forecast of wind and solar generation.
A70	Load forecast margin	A document providing the load forecast margin for a period.
A71	Generation forecast	A document providing the generation forecast for a period.
A72	Reservoir filling information	A document providing information concerning the filling of reservoirs.
A73	Actual generation	A document providing the actual generation for a period.
A74	Wind and solar generation	A document providing the generation of wind and solar energy for a period.
A75	Actual generation per type	A document providing the actual generation per generation type for a period.
A76	Load unavailability	A document providing the unavailability of units providing load on the network.
A77	Production unavailability	A document providing the unavailability of production units providing energy to the network.
A78	Transmission unavailability	A document providing the unavailability of transmission capacity on the network.
A79	Offshore grid infrastructure unavailability	A document providing the unavailability of an offshore grid infrastructure to the network.
A80	Generation unavailability	A document providing the unavailability of generation units providing energy to the network.
A81	Contracted reserves	A document providing the reserves contracted for a period.
A82	Accepted offers	A document providing the offers of reserves that have been accepted for a period.
A83	Activated balancing quantities	A document providing the quantities of reserves that have been activated for balancing.
A84	Activated balancing prices	A document providing the prices of the reserves that have been activated for balancing.
A85	Imbalance prices	A document providing the prices of reserves due to imbalance for a period.
A86	Imbalance volume	A document providing the volume of the imbalance for a period.
A87	Financial situation	A document providing the financial situation for reserves.
A88	Cross border balancing	A document providing the cross border balancing requirements for a period.
A89	Contracted reserve prices	A document providing the price of reserves contracted for a period.
A90	Interconnection network expansion	A document providing information on the expansion of the interconnection network.
A91	Counter trade notice	A document providing information on counter trades for a period.
A92	Congestion costs	A document providing the cost of congestion for a period.
A93	DC link capacity	A document providing the DC links for a period.
A94	Non EU allocations	A document providing allocations made to non EU member states.
A95	Configuration document	A  document providing configuration information.
A96	Redispatch activation document	A document enabling the activation of a redispatch notice.
A97	Detailed activation history document	A document enabling a detailed history of activations.
A98	Aggregated activation history document	A document enabling an aggregated history of activations.
A99	HVDC Link constraints	A document providing the information concerning the maximum and minimum active power flow through each link can limited.
B01	HVDC Configuration	A document providing the information concerning the power set point. The mode in which the HVDC is managed.
B02	HVDC Schedule	A document providing the information for operating DC links.
B03	EIC code request	A document providing the information requesting a new EIC code.
B04	EIC code information	A document providing EIC information in a central registry exchange or information to an EIC participant.
B05	EIC code publication	A document providing EIC publication information in a web site publication of a limited set of information.
B06	Critical network element determination	A document providing all the elements necessary for the capacity coordinator to determine the transfer capacity and the associated critical network elements.
B07	Critical network element publication	A document providing all the elements necessary for the market information aggregator and TSOs to know the critical network elements which limit the transfer capacity.
B08	Flow based domain	A document providing the capacity domain and its limits available for the TSO.
B09	Flow based domain publication	A document providing the capacity domain and its limits available for the market.
B10	Flow based domain market impact publication	A document providing the capacity domain and its impacts on the market to be published.
B11	Anonymized flow based parameters publication	A document providing all the relevant flow based parameters in case of flow based capacity allocation.
B12	Critical network element market impact publication	A document providing the critical network elements and its impacts on the market to be published.
B13	Weather document	An estimation or prediction in advance of the weather by analysis of meteorological data and the results of what actually happened with the weather.
B14	Energy prognosis document	A document to provide the prognosis of energy production/load for a given period.
B15	Network constraint document	A document providing the network constraint situations used for the load flow studies. A network constraint situation includes contingencies, monitored elements and remedial actions.
B16	Aggregated netted external market schedule document	A document used to report aggregated netted external market schedules for a given border.
B17	Aggregated netted external TSO schedule document	A document used to report aggregated netted external TSO schedules for a given border.
B18	Reporting status market document	A document used to report the status of aggregated netted external market schedules, aggregated netted external TSO schedules and compensation program schedules on a given border.
B19	Reporting information market document	A document used to report the information concerning aggregated netted external schedules, aggregated netted external market schedules, aggregated netted external TSO schedules, compensation program schedules, netted area position schedules and netted area AC position schedules to an interested party.
B20	Status request for a reporting information market document	A document requesting the provision of a reporting information document.
B21	Reserve need document	Used by a TSO to send its reserve needs.
B22	Generation and load shift keys document	A document providing the values of the generation and load shift keys to be used on network model.
B23	Offers to be activated	A document containing the outcome of the process, with the list of offers that are to be activated by the TSO concerned and the results for its reserve needs.
B24	Clearing price	A document containing the outcome of the process, with the clearing prices for a period.
B25	Security analysis report	A   document providing a report on a performed security analysis.
B26	Aggregated netted external schedule document	A document used to report aggregated netted external schedules for a given border.
B27	External TSO schedule	A document used to report external TSO schedules for a given border or interconnector.
B28	Move of scheduled production	A document indication a move of scheduled production.
B29	PS&LC results document	A document providing Pole Splitting & Loss Calculation results.
B30	Notification data marketdocument	A document used to notify data to any information receiver.
B31	Additional Constraint document	A document describing additional constraints for a capacity calculation process.
B32	Operational state document	A document used for exchanging operational states for grid assets.
B33	Published offered capacity	A document providing the most recent values of offered capacity.
B34	Market result document	Published prices and volumes
B35	Area Configuration document	A document containing the definition of areas.
B36	Area Composition document	A document containing the relations between areas, i.e which Metering Grid Areas a Bidding Zone composed of.
B37	Connected Areas document	A document containing which other areas an area is connected to i.e. which Metering Grid Areas a Metering Grid Area is connected to.
B38	Settlement document	A document providing settlement information.
B39	Imbalance prognosis document	A document to provide the prognosis of energy imbalances for a given period.
B40	Complete set of bids	Submission of complete set of bids. If there are existing bids, they should be replaced.
B41	Merged MOL notice	A notice providing information on the MOL merging process.
B42	K-factor document	A document providing K-factor values.
B43	Settlement coordination document	A document providing settlement information for coordination between different parties.
B44	Financial settlement document	A document providing financial settlement information.
B45	Bid availability document	A document providing the detailed reasons for changing the availability or volume of a bid.
B46	Resource capacity unit document	A document providing information about resource capacity units.
B47	Other market information	A document providing other market information.
B48	Permission document	A document that contains detailed information about permissions.
B49	Requested capacity	A document providing requested capacity (e.g. ATC, CZCL) value.
B50	Voltage control activation document	A document providing the number of generating units to activate for voltage control, by means of their operation in synchronous condenser mode.
B51	Transmission inventory document	A document providing a transmission inventory.
B52	Transmission inventory	A document providing statistics on the transmission grid.
