Code	Title	Description
A28	Scheduling coordinator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A29	Capacity Trader	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A30	Interconnection Trade Responsible	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A31	Nomination Validator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A32	Market information aggregator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.  A party that collects information from different sources and assembles it to provide a summary of the market.
A33	Information receiver	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.  A party, not necessarily a market participant, which receives information about the market.
A34	Reserve Allocator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.  A party that informs the market of reserve requirements, receives tenders against the requirements and in compliance with the prequalification criteria, determines what tenders meet requirements and assigns tenders.
A35	MOL Responsible	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.  A party that Informs the market of reserve requirements, receives tenders against the requirements and in compliance with the prequalification criteria, determines what tenders meet requirements and assigns tenders.
A36	Capacity Coordinator	A party, acting on behalf of the SOs involved, responsible for establishing a coordinated Offered Capacity and/or NTC and/or ATC between several Scheduling Areas.
A37	Reconciliation Accountable	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.  A party that is financially accountable for the reconciled volume of energy products for a profiled local metering point.
A38	Reconciliation Responsible	A party that is responsible for reconciling, within a metering grid area, the volumes used in the imbalance settlement process for profiled metering points and the actual metered quantities.
A39	Data provider	A party that is responsible for providing information to a central authority.
A40	Local Issuing Office (LIO)	A party that is responsible for operating a Local Issuing Office (LIO).
A41	Central Issuing Office (CIO)	A party that is responsible for operating a Central Issuing Office (CIO).
A42	EIC Participant	A party that participates in the EIC environment.
A43	Weather analyser	A party that analyses the current and forecast weather situation and establishes a prognosis of its impact on the renewable energy environment as well as the overall load.
A44	Regional Security Coordinator (RSC)	The RSC as defined in the System Operation guideline.
A45	Energy Service Company (ESCO)	A party offering energy-related services to the Party Connected to Grid, but not directly active in the energy value chain or the physical infrastructure itself. The ESCO may provide insight services as well as energy management services.
A46	Balancing Service Provider	A party with reserve-providing units or reserve-providing groups able to provide balancing services to LFC Operators.
A47	Energy trader	A party that is selling or buying energy.
A48	LFC Operator	A party that is responsible for the Load Frequency Control of its LFC Area or LFC Block.
A49	Transmission System Operator (TSO)	The Transmission System Operator (TSO) is responsible for the transport of electricity on the extra high-voltage and high-voltage interconnected system. This is a market participant and not a role in Harmonised Role Model.
A50	Distribution System Operator (DSO)	Distribution System Operator (DSO) is responsible for transport of electricity on high-voltage (optionally), medium-voltage and low-voltage distribution systems. This is a market participant and not a role in Harmonised Role Model.
A51	Resource Capacity Mechanism Operator	Resource capacity mechanism operator is the party responsible to operate the resource capacity mechanism in a member state. It can either be the TSO or an independent party.
A52	Resource aggregator	A party that aggregates resources for usage by a service provider for energy market services.
A53	Cost sharing calculator	A party responsible for the mapping of the costs between areas and parties.
A54	Settlement responsible	A party responsible for settling the costs.
A55	Coordinated Capacity Calculator	Coordinated Capacity Calculator is the entity or entities with the task of calculating transmission capacity, at regional level or above.
A56	Flexibility service provider	A party that offers flexibility services based on acquired (aggregated) resources.
A57	Data access provider	A party responsible for facilitating access to data.
A58	Metered data administrator	A party responsible for storing and distributing validated measured data.
A59	Permission administrator	A party responsible for administrating a register of data access permissions for a set of metering points, making this information available to final customers and eligible parties in the sector, on request.
