Code	Title	Description
B29	Metering Grid Area (MGA) imbalance	A time series concerning imbalance between reported consumption, production and exchange in a Metering Grid Area.
B30	HVDC Link settings	The time series in question provides HVDC Link settings.
B31	Transmission Reliability Margin (TRM)	A time series concerning Transmission Reliability Margin (TRM).
B32	Imbalance component for a pool	This information is used to provide to a pool manager the combined imbalance of all the pool participants.
B33	Area Control error (ACE)	The sum of the instantaneous difference between the actual and the set-point value of the measured total power value and Control Program including Virtual Tie-Lines for the power interchange of a LFC Area or a LFC Block and the frequency bias given by the product of the K-Factor of the LFC Area or the LFC Block and the Frequency Deviation.
B34	Area Control Error after Imbalance Netting	A time series concerning the Area Control Error after applying the imbalance netting energy correction.
B35	Implicit and explicit trade total	The sum of cross border schedules based on implicit and explicit trades including long term, yearly, monthly, weekly, daily processes.
B36	Production units own consumption	The consumption of one or more production units.
B37	Constraint situation	The timeseries describes the constraint situation for a given TimeInterval.  A constraint situation can be:  - composed of a list of network elements in outage associated for each outage to a list of network elements on which remedial actions have been carried out accordingly to contingency process  - or it can be an external constraint.
B38	Initial domain	The timeseries describe the full flow based domain for a given TimeInterval.  Critical network elements are displayed in details and their impact on the market is quantified.
B39	Flow based domain adjusted to long term schedules	The timeseries describe the full flow based domain for a given TimeInterval adjusted to the latest update of the schedules.  Critical network elements are displayed in details and their impact on the market is quantified.
B40	Network element constraint	The timeSeries describes limiting elements which are overloaded.
B41	Calculation opposition (Red Flag)	The timeSeries describes a party who is opposed to the calculation result and imposes its transfer capacity value.
B42	Base case proportional shift key	The GSK or LSK are proportional to the base case generation or load.
B43	Proportional to participation factors shift key	The GSK or LSK are proportional to the participation factors.
B44	Proportional to the remaining capacity shift key	The GSK is proportional to the remaining available capacity.
B45	Merit order shift key	The GSK is proportional to a merit order list.
B46	Wind speed	The TimeSeries provides information on the wind speed.
B47	Wind direction	The TimeSeries provides information on the wind direction.
B48	Solar irradiance	The TimeSeries provides information on the power per unit area produced by the sun in the form of electromagnetic radiation.
B49	Air temperature	The TimeSeries provides information on the air temperature.
B50	Cloudiness	The TimeSeries provides information on the cloudiness, i.e. the level of coverage of the sky with clouds.
B51	Air humidity	The TimeSeries provides information on the level of humidity of the air.
B52	Atmospheric pressure	The TimeSeries provides information on the atmospheric pressure.
B53	Precipitation	The TimeSeries provides information on the amount of rain, snow, etc. that falls on the ground.
B54	Network constraint situation that constraints the market	The TimeSeries describes the network elements, that constraints the market, to be taken into account to simulate a network constraint during the network load flow  studies. The network situation includes the contingencies, the remedial actions, the monitored network elements and the potential additional constraints.
B55	Contingency	The TimeSeries describes the network elements part of the contingency to be simulated for a given TimeInterval.
B56	Remedial Action	The TimeSeries describes a set of remedial actions for a given TimeInterval.
B57	Monitored Network Element	The TimeSeries describes the network elements to be monitored during the network load flow studies.
B58	Busbar	The TimeSeries describes the network elements that composed a busbar.
B59	Network Element	The TimeSeries describes network elements.
B60	SPS	The TimeSeries describes the network elements managed by a Special Protection System (automation).
B61	Aggregated netted external market schedule	The aggregated netted external market schedules for a given border.
B62	Aggregated netted external TSO schedule	The aggregated netted external TSO schedules for a given border.
B63	Aggregated netted external schedule	The aggregated netted external schedules for a given border.
B64	Netted area AC position	The AC position for a given area.
B65	Netted area position	The netted aggregation of all AC external schedules of an area plus the aggregated External Netted Schedules of related HVDC links of an area.
B66	Interconnection shift key	The shift key series describes the amount of power to be shifted from a border area.
B67	DC flow with losses	DC flow with losses refers to the values at the importing end of the DC line.
B68	DC flow without losses	DC flow without losses refers to the values at the exporting end of the DC line.
B69	minimum value of netted area position	That value which a netted area position must not fall below for a given area.
B70	maximum value of netted area position	That value which a netted area position must not exceed for a given optimisation area.
B71	maximum value of DC flow	That value which a balanced DC flow must not exceed for a given DC line on exporting end. When aligning DC flows CGMA algorithm will respect this constraint.
B72	minimum value of DC flow	That value which a balanced DC flow must not fall below for a given DC line on exporting end. Currently this business type is only included for consistency reasons. It is always set to 0. This constraint might, however, be used in future. When aligning DC flows the CGMA algorithm will respect this constraint.
B73	indicative AC flow	It is the hypothetical flow on the aggregate of all AC tie lines of an electrical border between two optimisation areas. It results from the adjustments to the preliminary netted area positions of all optimisation areas made by the CGMA algorithm. Indicative AC flows are an artefact of the CGMA algorithm, and do not correspond to physical flows
B74	Offer	The time series provides an offer to provide reserves.
B75	Need	The time series provides a requirement for reserves.
B76	Opportunity costs or benefits	The time series describes any opportunity costs or benefits.
B77	Financial compensation or penalties	The time series describes any financial compensation or penalties
B78	Global radiation	The total short-wave radiation from the Global radiation is the total short-wave radiation from the sky falling onto a horizontal surface on the ground. It includes both the direct solar radiation and the diffuse radiation resulting from reflected or scattered sunlight.
B79	Diffuse radiation	Radiation resulting from reflected or scattered sunlight.
B80	Direct solar radiation	Radiation resulting from direct sunlight
B81	Outage (OUT)	Outage process: Element is out of operation due to planned maintenance or due to an unplanned/forced outage. Outage may be used as a synonym for unavailability.
B82	Special switching state (SSS)	Outage Process: This state applies to grid elements which are in operation in an exceptional state (e.g. separated nodes operation).
B83	Testing (TEST)	Outage process: TESTING means any element status is possible - ON or OUT. This status applies either between first connection and final commissioning of the relevant asset, or directly following maintenance of the relevant asset.
B84	Auxiliary busbar operation	Outage process: Element is in operation but connected via auxiliary busbar
B85	Automatic reclosing	Outage process: Protection function Automatic reclosing is switched off for electric line
B86	Busbar protection	Protection function busbar protection is switched off
B87	Phase Shift Angle	The maximum phase shift angle allowed between two network elements.
B88	Base Case Network Situation	The TimeSeries describes the network elements to be taken into account to simulate a base case network situation during the network load flow studies, without any contingency.
B89	Inter-TSO assistance	Cross border assistance schedule between TSOs not interconnected directly.
B90	FlexibleNeed	The business type indicates that the need is optional.
B91	GLSK Limitation	A constraint related to a GLSK maximum or minimum limitation in the production or/and consumption shift.
B92	Capacity ramping limitation	A constraint related to a ramping limitation on the capacity offered at a given border.
B93	interconnector capacity	The maximum capacity that can be exchanged on an interconnector, excluding external factor on both ends.
B94	Must Run	A time series concerning must run generation.
B95	Procured capacity	An accepted offer of balancing capacity.
B96	Used capacity	The used cross-zonal balancing capacity.
B97	Estimated costs	Estimated costs of the process.
B98	Estimated benefits	Estimated benefits of the process.
B99	Load Shedding	A time series concerning a load shedding used to avoid failure of the power system.
C01	Remaining Capacity	A time series concerning the remaining capacity.
C02	Indicator of generation capacity adequacy	Indicator of adequacy, it indicates if there is final generation remaining capacity after SMTA calculation.
C03	Income from price divergence without congestions	The time series describes income due to price divergence without congestion between bidding zones.
C04	Push-button	The cross-border Push-button service between System Operators.
C05	Intertripping	The cross-border Intertripping service between System Operators.
C06	Emergency instruction	The cross-border Emergency instruction service between System Operators.
C07	Ramp management	The schedule resulting from cross-border Ramp management service between System Operators.
C08	Profile smoothing	The schedule resulting from cross-border Profile smoothing service between System Operators.
C09	Emergency reallocation deselection	The schedule resulting from cross-border Emergency reallocation deselection service between System Operators.
C10	SO-SO-trade	The generic cross border trade between System Operators.
C11	Production reduction	A time series providing the volume of production reduced by an energy provider / producer / supplier.
C12	Maximum power exchange	The timeseries provides the maximum admissible power flow between two bidding zones respecting operational security limits taking into account N-1 criterion.
C13	Maximum power exchange after remedial actions	The timeseries provides the maximum admissible power flow between two bidding zones after remedial actions.
C14	Network constraint situation that cannot limit the market	The TimeSeries describes the network elements, that cannot limit the market, to be taken into account to simulate a network constraint during the network load flow studies. The network situation includes the contingencies, the remedial actions, the monitored network elements and the potential additional constraints.
C15	Flat participation for all generators or loads	Flat GSK factors of all generators or loads, independently of the size.
C16	Proportional to installed capacity of generators	Generators participate relative to their maximum (installed) capacity (MW).
C17	Market price and total volume	A time series concerning market price and total volume.
C18	Import price	A time series concerning import price (the volume-weighted price average of all accepted bids).
C19	Capacity allocated (excluding price)	The business being described concerns capacity allocation and excludes price information.
C20	Common Grid Model Equipment	The timeseries provides equipment related to the Common Grid Model (CGM).
C21	Exchanged balancing reserve capacity	The balancing reserve capacity exchanged between areas.
C22	Shared balancing reserve capacity	The balancing reserve capacity shared between areas.
C23	Share of reserve capacity	A time series concerning the share of reserve capacity.
C24	Actual reserve capacity	A timeseries concerning actual reserve capacity.
C25	K-factor	K-factor as stated in the SO GL Art. 2 (45). It is also known as Frequency Bias.
C26	Frequency Containment Reserve-Normal (FCR-N)	FCR-N is a reserve that is automatically activated in both directions around a set point when the frequency varies between 50.10 Hz and 49.90 Hz after an imbalance.
C27	Frequency Containment Reserve-Disturbance (FCR-D)	FCR-D is a reserve that is automatically activated when the frequency falls below 49.90 Hz or rises above 50.1 Hz after an imbalance.
C28	Internal trade difference	A time series concerning internal trade difference, within an area, such as a Bidding Zone or Scheduling Area. The internal trade difference is the difference between trades reported from an out party (seller) and an in party (buyer).
C29	Small scale production	Production from small scale production plants.
C30	System price	The system price is an unconstrained market clearing reference price. It is calculated without any congestion restrictions by setting capacities to infinity.
C31	Wind gust	An increase in the speed of the wind lasting for a short period.
C32	Area imbalance	A time series concerning imbalance between planned consumption, production and exchange in an Area.
C33	Unintended energy price	A timeseries concerning the price of the unintended cross-border exchange of energy.
C34	Frequency containment process energy	A timeseries containing the volume of energy resulting from the frequency containment process.
C35	Frequency containment process energy price	A timeseries containing the energy price from the frequency containment process.
C36	Ramping period energy	A timeseries containing the volume of energy exchanged as a result of ramping between different ANES values.
C37	Ramping period energy price	A timeseries containing the price of the energy exchanged as a result of ramping between different ANES values.
C38	Frequency deviation	A timeseries concerning the difference between the actual and the nominal frequency of a synchronous area.
C39	Day-Ahead market price	A timeseries concerning Day-Ahead market prices.
C40	Conditional bid	Standard product bid that is conditional on bids submitted outside of common platform.
C41	Thermal limit	The current causing a given network element to work outside of the range of safe operating temperatures.
C42	Frequency Limit	A constraint related to the containment of frequency deviations within a given area.
C43	Voltage limit	The maximum or minimum permissible voltage within normal operation state of a given network element.
C44	Current limit	The maximum permissible current within normal operation state of a given network element.
C45	Short circuit current limit	The maximum permissible short-circuit current within normal operation state of a given network element.
C46	Dynamic stability limit	A maximum permissible load ensuring the control of oscillations in the grid and avoiding the loss of synchronism.
C47	Disconnection	A timeseries describing disconnection of a TSO from a common platform.
C48	Intended energy with positive price	A timeseries concerning the amount of intended energy with prices higher than zero (and including zero).
C49	Intended energy with negative price	A timeseries concerning the amount of intended energy with prices lower than zero (excluding zero).
C50	Decopuling	A time series describing decoupling of an area.
C51	Resource capacity unit	A timeseries containing information about resource capacity units.
C52	Resource entry capacity data	A timeseries containing the resource capacity that can be allocated to an eligible resource capacity operator from another area.
C53	Resource capacity obligation data	A timeseries containing the resource capacity operator obligation to guarantee delivery.
C54	Available energy	A timeseries concerning the available energy.
C55	Production curtailment	A  timeseries concerning the curtailment of production.
C56	Rounding error	A timeseries describing a rounding error.
C57	Metered frequency	The timeseries provides information about metered frequency.
C58	Adjusted TTC to the nominal criteria	The exchange program between two areas which guarantees that the Margin Available for Cross-Zonal Trade (MACZT) fulfils the nominal criteria at least on the most limiting Critical Network Element with Contingency (CNEC) which limits the transfer capacity.
C59	Adjusted TTC to the nominal criteria with TSOs limitation	The exchange program between two areas which allows the Margin Available for Cross-Zonal Trade (MACZT) on, at least, the most limiting Critical Network Element with Contingency (CNEC) to get closer to the nominal criteria fulfilment with a limited impact on the rest of the network.
C60	Frequency deviation larger than standard deviation	Total time in which the absolute value of the instantaneous frequency deviation was larger than the standard frequency deviation.
C61	Frequency deviation larger than maximum deviation	Total time in which the absolute value of the instantaneous frequency deviation was larger than the maximum instantaneous frequency deviation.
C62	Frequency deviation not returned to 50%	Number of events in which the absolute value of the instantaneous frequency deviation of the synchronous area exceeded 200 % of the standard frequency deviation as stated in SO GL (EU) regulation Art 131.1.a.vi.
C63	Frequency deviation not returned to restoration range	Number of events in which the absolute value of the instantaneous frequency deviation of the synchronous area exceeded 200 % of the standard frequency deviation.
C64	Frequency deviation outside recovery range	Number of events for which the absolute value of the instantaneous frequency deviation was outside of the frequency recovery range.
C65	Frequency	A time series describing measurement frequency.
C66	Mean value	A time series describing mean values.
C67	Standard deviation	A time series describing standard deviation.
C68	Percentile	A time series describing percentiles.
C69	Measured frequency resolution	A time series describing the resolution of a measured frequency.
C70	Accuracy	A time series describing measurement accuracy.
C71	FRCE outside level 1 range	The number of time intervals in which the average value of the FRCE was outside the Level 1 FRCE range as stated in SO GL. (EU) regulation Art 131.1.b.i.
C72	FRCE outside level 2 range	The number of time intervals in which the average value of the FRCE was outside the Level 2 FRCE range as stated in SO GL (EU) regulation. Art 131.1.b.i.
C73	FRCE exceeded 60% of FRR capacity	The number of events for which the FRCE exceeded 60 % of the reserve capacity on FRR as stated in SO GL (EU) regulation Art 131.1.b.ii.
C74	FRCE exceeded steady state deviation	The number of events for which the absolute value of the FRCE exceeded the  maximum steady-state frequency deviation.
C75	FRCE calculation and accuracy descriptor	A time series describing how FRCE is calculated and its accuracy.
C76	Forecasted capacity	A time series describing forecasted capacity.
C77	Minimum available capacity	A time series describing minimum available capacity.
C78	Average available capacity	A time series describing average available capacity.
C79	Maximum available capacity	A time series describing maximum available capacity.
C80	Frequency and accuracy descriptor	A time series describing how system frequency and accuracy are determined.
C81	Long-Term internal redispatch	A time series describing long-term redispatch to relieve Scheduling Area internal congestion.
C82	Other unavailability	This is an unplanned unavailability. Not considered by market participants as a planned maintenance.
C83	Faster than standard FAT	Bids that can support a �Full Activation Time� (FAT) that is faster than standard FAT. Fast activation can be done for bids with activation time shorter than the minimum requirement for the standard product. When circumstances call for it, the TSO can order activation of such bids on a shorter notice.
C84	Faster than standard deactivation time	Fast deactivation can be done for bids with activation time shorter than the minimum requirement for the standard product. When circumstances call for it, the TSO can order activation of such bids on a shorter notice.
C85	Slower than standard FAT	Bids that can support a Full Activation Time (FAT) that is slower than standard FAT.
C86	Remedial action cost summary	A timeseries summarizing all incurred costs and/or revenues per party related to the activated remedial actions eligible to Cost Sharing.
C87	Settlement result	A timeseries representing the cost sharing settlement results between parties (i.e. which party will be paying and/or receiving money for the concerned period).
C88	Reserved cross zonal capacity	The reserved cross zonal capacity for system operator needs (EBGL art. 38(1)(b) and art. 41.).
C89	Energy reserves	A timeseries describing energy reserves.
C90	Combined dynamic constraint	The time series describes a combined dynamic constraint, being defined as a limit on the sum of power flows on a set of network elements or partial flows on a set of network elements for the purpose to respect dynamic stability limits.
C91	Anonymised constraint	The time series describes an anonymised constraint.
C92	Synchronous condenser activation	Activates a number of generators or other units in synchronous condenser mode.
C93	Permission administration details	A timeseries describing permission details such as authorisations, licenses or related regulatory requirements.
C94	Maximum capacity value of AC border flow	Maximum flow on an AC border between two areas (capacity)
C95	Initial forecast value of AC border flow	Initial flow on an AC border between two areas (forecast)
