OutAreaCode	OutAreaTypeCode	OutAreaName	OutMapCode	InAreaCode	InAreaTypeCode	InAreaName	InMapCode
10Y1001A1001A74G	BZN	IT-Sardinia BZ	IT_SARD	10Y1001A1001A893	BZN	Italy_Sacodc	IT_SACO_DC
10YDK-2--------M	BZN	DK2 BZ	DK2	10YDK-1--------W	BZN	DK1  BZ	DK1
10YLT-1001A0008Q	BZN	Litgrid BZ	LT	10Y1001A1001A50U	BZN	Kaliningrad BZ	RU_KGD
10YHU-MAVIR----U	BZN	MAVIR BZ	HU	10YSK-SEPS-----K	BZN	SEPS BZ	SK
10YSK-SEPS-----K	BZN	SEPS BZ	SK	10YCZ-CEPS-----N	BZN	CEPS BZ	CZ
10Y1001A1001A46L	BZN	SE3 BZ	SE3	10Y1001A1001A47J	BZN	SE4 BZ	SE4
10YDK-1--------W	BZN	DK1  BZ	DK1	10YDK-2--------M	BZN	DK2 BZ	DK2
10YNO-1--------2	BZN	NO1 BZ	NO1	10YNO-2--------T	BZN	NO2 BZ	NO2
10YSK-SEPS-----K	BZN	SEPS BZ	SK	10YHU-MAVIR----U	BZN	MAVIR BZ	HU
10YNO-2--------T	BZN	NO2 BZ	NO2	10YNL----------L	BZN	TenneT NL BZ	NL
10YNO-3--------J	BZN	NO3 BZ	NO3	10YNO-4--------9	BZN	NO4 BZ	NO4
10YRO-TEL------P	BZN	Transelectrica BZ	RO	10YHU-MAVIR----U	BZN	MAVIR BZ	HU
10YNO-4--------9	BZN	NO4 BZ	NO4	10YNO-3--------J	BZN	NO3 BZ	NO3
10YNO-3--------J	BZN	NO3 BZ	NO3	10YNO-1--------2	BZN	NO1 BZ	NO1
10YFI-1--------U	BZN	Fingrid BZ	FI	10YNO-4--------9	BZN	NO4 BZ	NO4
10YNO-1--------2	BZN	NO1 BZ	NO1	10YNO-3--------J	BZN	NO3 BZ	NO3
10YNO-3--------J	BZN	NO3 BZ	NO3	10Y1001A1001A45N	BZN	SE2 BZ	SE2
10Y1001A1001A45N	BZN	SE2 BZ	SE2	10YNO-3--------J	BZN	NO3 BZ	NO3
