CODE	DEFINITION	DESCRIPTION
A34	Escalation document	A document which requesting the escalation of a situation
A35	Trouble shooting document	A document providing trouble shooting information for the resolution of a problem
A36	Deactivation document	The capacity proposed for agreement between parties
A37	Reserve tender document	The document that is used for the tendering for reserves within the ERRP process
A38	Reserve Allocation Result Document	The document used to provide the results of a Reserve auction.
A39	SATCR activation	The document is used to provide the activation of reserves through the SATCR process.
A40	DATCR activation	The document is used to provide the activation of reserves through the DATCR process.
A41	Activation response	The document is used to provide a response to a request to activate reserves.
A42	Tender reduction	The document is used to provide information concerning the reduction of a previously submitted tender
A43	MOL Document	The document is used to provide Merit Order List information.
A44	Price Document	The document is used to provide market spot price information.
A45	Measurement Value Document	The document is used to provide measurement information from measurement devices.
A46	SOAM Document	The document is used to provide system operator accounting data for matching
A47	SOVA Document	The document is used to provide system operator validated accounting data.
A48	CCVA Document	The document is used to provide coordination center validated accounting data.
A49	Daily settlement document	The document is used to provide daily settlement information.
A50	Weekly settlement document	The document is used to provide weekly settlement information.
A51	Capacity Auction Specification Document	The document is used to provide capacity auction specification information.
A52	Market Coupling Results Document	The document is used to provide the results of a market coupling auction.
A53	Outage publication Document	The document is used to provide the outage information for publication.
A54	Forced generation outage Document	A document providing information on forced generation outages.
A55	Summarised Market Schedule	A compilation of all external schedules concerning two Market Balance Areas of all balance responsible parties.
A56	Compensation Program Schedule	A schedule that provides the schedule information for the compensation of unintended deviation.
A57	Load Frequency Control Program Schedule	A schedule that provides the schedule information for the Load Frequency Control Program of a Control Area or a Control Block.
A58	Timeframe Independent Schedule	A compilation of all external Timeframe Independent Schedules concerning two System Operators.
A59	Status request for a status within a process	A status request being made concerning the status of information within the context of a specific ongoing process.
A60	status request for a position independently from a specific process	A status request concerning the position of an object independently of any ongoing processes.
A61	Estimated Net Transfer Capacity	The estimated net transfer capacity for a given border.
A62	Compensation rights	The capacity rights that have been allocated as compensation.
A63	Redispatch notice	A notice to confirm the actions agreed between System Operators to resolve a congestion situation through redispatch.
A64	Tender reduction response	A response to a tender reduction request that provides corrections to the initial document..
A65	System total load	Total load', including losses without power used for energy storage, is equal to generation deducted with exports, added with imports and deducted with power used for energy storage.
A66	Final MOL	A document providing the information concerning the situation of the MOL at the end of an activation period..
A67	Resource Provider Schedule for production/consumption	A document providing the schedules for production/consumption for resource objects submitted by a resource provider.
A68	Installed generation per type  installed generation per	A document providing the generation type.
A69	Wind and solar forecast	A document providing the forecast of wind and solar generation.
A70	Load forecast margin	A document providing the load forecast margin for a period.
A71	Generation forecast	A document providing the generation forecast for a period.
A72	Reservoir filling information	A document providing information concerning the filling of reservoirs.
A73	Actual generation	A document providing the actual generation for a period.
A74	Wind and solar generation	A document providing the generation of wind and solar energy for a period.
A75	Actual generation per type	A document providing the actual generation per generation type for a period.
A76	Load unavailability	A document providing the unavailability of units providing load on the network.
A77	Production unavailability	A document providing the unavailability of production units providing energy to the network.
A78	Transmission unavailability	A document providing the unavailability of transmission capacity on the network.
A79	Offshore grid infrastructure unavailability	A document providing the unavailability of an offshore grid infrastructure to the network.
A80	Generation unavailability	A document providing the unavailability of generation units providing energy to the network.
A81	Contracted reserves	A document providing the reserves contracted for a period.
A82	Accepted offers	A document providing the offers of reserves that have been accepted for a period.
A83	Activated balancing quantities	A document providing the quantities of reserves that have been activated for balancing.
A84	Activated balancing prices	A document providing the prices of the reserves that have been activated for balancing.
A85	Imbalance prices	A document providing the prices of reserves due to imbalance for a period.
A86	Imbalance volume	A document providing the volume of the imbalance for a period.
A87	Financial situation	A document providing the financial situation for reserves.
A88	Cross border balancing	A document providing the cross border balancing requirements for a period.
A89	Contracted reserve prices	A document providing the price of reserves contracted for a period.
A90	Interconnection network expansion	A document providing information on the expansion of the interconnection network.
A91	Counter trade notice	A document providing information on counter trades for a period.
A92	Congestion costs	A document providing the cost of congestion for a period.
A93	DC link capacity	A document providing the DC links for a period.
A94	Non EU allocations	A document providing allocations made to non EU member states.
A95	Configuration document	A document providing configuration information for the network.
A96	Redispatch activation document	A document enabling the activation of a redispatch notice.
A97	Detailled activation history document	A document enabling a detailled history of activations.
A98	Aggregated activation history document	A document enabling an aggregated istory of activations.
A99	HVDC Link constraints	A document providing the information concerning the maximum and minimum active power flow through each link can limited.
B01	HVDC Configuration	A document providing the information concerning the power set point. The mode in which the HVDC is managed.
B02	HVDC Schedule	A document providing the information for operating DC links.
B03	EIC code request	A document providing the information requesting a new EIC code.
B04	EIC code information	A document providing EIC information in a central registry exchange or information to an EIC participant.
B05	EIC code publication	A document providing EIC publication information in a web site publication of a limited set of information.

